gene	log2FC	p	padj	n
7943156	0.516983115052381	1.15499555165225e-06	0.020409089516431	29
8065550	0.488074119685714	2.69838752038618e-06	0.020409089516431	29
8145225	1.45510120252381	3.28456777438476e-06	0.020409089516431	29
8002629	0.268866027604762	4.17150051411886e-06	0.020409089516431	29
7973156	0.241083420904762	4.1985628234719e-06	0.020409089516431	29
8138155	0.492021288276191	4.84159018701022e-06	0.020409089516431	29
7967060	-0.358832643080953	5.45297765138446e-06	0.020409089516431	29
7967304	0.336876492680953	5.74216487766223e-06	0.020409089516431	29
7979878	0.717776788571428	1.15599349799399e-05	0.0315779715617871	29
8083630	-0.432147064838095	1.20238538388096e-05	0.0315779715617871	29
7964466	-0.679369048242857	1.22162793549855e-05	0.0315779715617871	29
8149208	0.456085865771429	1.68812391121327e-05	0.038521550200556	29
8016735	0.243866589571429	1.76120191533808e-05	0.038521550200556	29
7957737	-0.41111985692381	2.31112738587246e-05	0.0406463322407248	29
8006812	-0.746970927133334	2.32340584237047e-05	0.0406463322407248	29
8151090	0.241851042852381	2.40304649095338e-05	0.0406463322407248	29
8158057	0.228782867957143	2.4301457694743e-05	0.0406463322407248	29
7975045	-0.55556328982381	2.8660744630023e-05	0.045274422933893	29
7981333	1.41449977314286	3.46245116304343e-05	0.0497034497273812	29
8131949	-0.221643607352381	3.49605751757622e-05	0.0497034497273812	29
8179298	-0.432895200466667	3.93287685469076e-05	0.0526532484127035	29
8118218	-0.4383955513	4.19599335211779e-05	0.0526532484127035	29
8118249	0.367223269504762	4.35206617004788e-05	0.0526532484127035	29
8004024	0.362488150833333	4.44424970776143e-05	0.0526532484127035	29
8028323	0.308804039366667	4.93847927532063e-05	0.0561682878857867	29
8178050	-0.461777236147619	5.37937386222762e-05	0.0588296601533001	29
8013272	1.01490552704762	5.6376437740478e-05	0.0593706529893611	29
8078857	0.498511827904762	5.94302466763763e-05	0.0603514154998601	29
8160912	1.04043616692381	6.36757318826781e-05	0.0619397411786961	29
7939005	0.373477939857143	6.59472806757193e-05	0.0619397411786961	29
7978553	-0.598135862685714	7.24190907229476e-05	0.0619397411786961	29
8070782	0.26600480102381	7.53741524221029e-05	0.0619397411786961	29
8168500	-0.449766460271429	7.85016619884908e-05	0.0619397411786961	29
8108510	0.224103090228571	7.89096980061546e-05	0.0619397411786961	29
8005679	0.554249078690476	8.02644372399848e-05	0.0619397411786961	29
8082478	-0.74273004682381	8.18283456406942e-05	0.0619397411786961	29
8141762	-0.279297250004762	8.25211433614443e-05	0.0619397411786961	29
8068494	-0.335264470119048	8.51906223196968e-05	0.0619397411786961	29
8002919	-0.483842557714286	8.54968794994213e-05	0.0619397411786961	29
8092455	0.377231416076191	8.71347558256961e-05	0.0619397411786961	29
7960896	0.632148071761905	9.24209482132822e-05	0.0640950546706455	29
7900409	0.274523282985714	9.59455537699222e-05	0.0649551399022373	29
8163930	-0.442286447119048	9.93662386571693e-05	0.065706503022743	29
7971838	0.216864556938095	0.000104566807696508	0.0663184381965212	29
8126666	0.312667676204762	0.00010777259610603	0.0663184381965212	29
8099082	0.410297271171429	0.000107882971326145	0.0663184381965212	29
8119894	0.338898191409524	0.000110382769111229	0.0663184381965212	29
8009513	-0.229804886676191	0.000112502343529133	0.0663184381965212	29
8125042	0.380380085519048	0.000119571724300087	0.0663184381965212	29
7940582	0.318744203747619	0.000120244102638993	0.0663184381965212	29
8108376	0.482006332966667	0.000120449232970462	0.0663184381965212	29
8005204	1.05388453089524	0.000121473702535276	0.0663184381965212	29
8044963	0.319350087433333	0.000123615292411044	0.0663184381965212	29
7973020	0.188464977276191	0.000127523019074399	0.0671479541548417	29
8090416	0.375106816566667	0.000139740790566097	0.0712097918307788	29
8028756	-0.266344993952381	0.000141441008715852	0.0712097918307788	29
8023481	-0.434914305971429	0.000142750162986368	0.0712097918307788	29
7950444	-0.497912007247619	0.000149950203156306	0.0720399923458032	29
8127542	0.606113277890476	0.000156798093884996	0.0720399923458032	29
8154731	0.182822707466667	0.000158250198108753	0.0720399923458032	29
8090448	-0.660985722142857	0.000161454115635932	0.0720399923458032	29
7918794	0.406254399471429	0.000164793903740814	0.0720399923458032	29
8118826	-0.375117230547619	0.000165088391218015	0.0720399923458032	29
8110803	-0.418852693566667	0.000165095792347547	0.0720399923458032	29
8028104	0.253277184642857	0.000165165991795796	0.0720399923458032	29
8084963	-0.542697867504762	0.000167216694619927	0.0720399923458032	29
7997166	0.58961060087619	0.000180261912548656	0.0761749643796097	29
7923958	0.286420214647619	0.00018270345435894	0.0761749643796097	29
7918345	-0.557833659642857	0.000184851675536086	0.0761749643796097	29
8144656	0.291497761819048	0.00019734047686489	0.0783535308090789	29
7922773	0.234776283952381	0.00019754273176638	0.0783535308090789	29
8149148	0.39473673	0.00019973781943481	0.0783535308090789	29
7921702	0.187970076285714	0.000202728978620166	0.0783535308090789	29
8114225	-0.285465482595238	0.000203916483079125	0.0783535308090789	29
7922703	0.197092676738095	0.000208404048604721	0.0784627970582238	29
8034454	-0.551952284385714	0.000209719792376205	0.0784627970582238	29
8003806	0.291299357185714	0.000227813523666154	0.0834617644570518	29
8170906	-0.392082576276191	0.000237646439124869	0.0834617644570518	29
7934326	-0.400940333628572	0.000241287129473285	0.0834617644570518	29
7964535	0.264113059790476	0.000243398000314303	0.0834617644570518	29
7912638	0.185366323080952	0.000243567415268359	0.0834617644570518	29
8150599	-0.434806224476191	0.000243887059732364	0.0834617644570518	29
7912198	-0.850431732976191	0.000248549925112	0.0834617644570518	29
8105583	0.282573994295238	0.000250237252713335	0.0834617644570518	29
8114618	-0.507097348576191	0.000251505458076282	0.0834617644570518	29
8171802	-0.602815996985714	0.000252434119128735	0.0834617644570518	29
8179313	0.3320919536	0.000256622689336766	0.0838713741218576	29
8142446	0.355499067480952	0.000262269214870597	0.0847427597230746	29
7897422	0.257183200966667	0.000267795644543365	0.0855561950218656	29
8038246	0.496258469485714	0.00027270397786118	0.086156276738942	29
8104449	-0.384186224180952	0.000276024918876634	0.0862471708059145	29
7913185	0.455201432809524	0.000283372484584451	0.0867347893589529	29
8066266	0.411247555047619	0.000286128177106927	0.0867347893589529	29
7942989	0.26008979942381	0.000289863514693661	0.0867347893589529	29
7992865	0.435482074942857	0.000293000183851762	0.0867347893589529	29
8088844	0.57445835952381	0.000293358886629644	0.0867347893589529	29
7899737	-0.411827449204762	0.000295887830337569	0.0867347893589529	29
7962792	0.318121986580952	0.000306910871357021	0.0871156036093875	29
7974914	0.296626897785714	0.000308180904156982	0.0871156036093875	29
8073457	-0.405323740742857	0.00031054735123208	0.0871156036093875	29
8174105	0.230201664833333	0.000315893754889335	0.0871156036093875	29
7955963	0.229702664547619	0.000317644868431764	0.0871156036093875	29
7984155	-0.249718982371429	0.000322415448143131	0.0871156036093875	29
8115838	0.467786552071429	0.000325621203008799	0.0871156036093875	29
8096568	0.120747717814286	0.000326773263795919	0.0871156036093875	29
8144496	0.350064671571429	0.00032948433515397	0.0871156036093875	29
8178586	0.306004848961905	0.000332407207038603	0.0871156036093875	29
7930304	-0.503840908685714	0.000333312594923552	0.0871156036093875	29
8110347	0.229351975857143	0.000333952338518085	0.0871156036093875	29
8149279	0.220349373033333	0.00034030342327348	0.08767728680784	29
8007530	0.369557604761905	0.000343561712460085	0.08767728680784	29
8005225	0.723777527990476	0.000345356127258848	0.08767728680784	29
7952185	-0.341300970966667	0.000361445215790376	0.0895943257284869	29
8172580	0.192824417495238	0.000365358026115396	0.0895943257284869	29
8114080	0.670734505404762	0.000368957594760229	0.0895943257284869	29
7938286	-0.240359530657143	0.000372359847909094	0.0895943257284869	29
8127637	-0.460503219485714	0.000372768341260671	0.0895943257284869	29
8007355	-0.518684720066667	0.00037638069900907	0.0895943257284869	29
8094686	0.220519395180952	0.000385331288331616	0.0895943257284869	29
8042825	0.2360623403	0.000388265097270742	0.0895943257284869	29
8095299	0.546405118761905	0.000389374833967939	0.0895943257284869	29
8110585	1.1128501097381	0.000389959684073092	0.0895943257284869	29
8095251	0.216140932742857	0.000390324043730872	0.0895943257284869	29
8044572	0.240513619495238	0.000391661138202752	0.0895943257284869	29
7897404	-0.319737535652381	0.000393869688262674	0.0895943257284869	29
8145942	0.528367309257143	0.000398840077612612	0.0899796441940533	29
8045497	0.28802833002381	0.000404878554044298	0.0899796441940533	29
8009761	-0.35001167792381	0.000405057130788451	0.0899796441940533	29
7906069	0.199025967576191	0.000413781460364666	0.0906550270109591	29
8023216	0.229769109257143	0.000414473992805257	0.0906550270109591	29
