gene	log2FC	p	padj	n
XLOC_l2_007876	-4.10253426210493	1.46963659657273e-15	3.58109699468395e-11	16
NACAP1	-2.25945287241839	2.23260411139897e-15	3.58109699468395e-11	16
FKSG2	-3.25656220566311	1.17666492534642e-14	1.2582470268371e-10	16
RHBDL1	-3.13114242465931	1.85357670103707e-14	1.26046379142794e-10	16
BCL10	-2.25536125145318	1.9645632659413e-14	1.26046379142794e-10	16
XLOC_l2_011872	-2.20077366452559	9.80510595685569e-14	5.24246331826551e-10	16
ZNF90	-3.84829871984154	1.93959208307264e-13	8.88887343213859e-10	16
XLOC_l2_007656	-3.84247847397364	2.99666643738209e-13	1.20166324139022e-09	16
XLOC_001728	-3.05849105884426	3.40616229314341e-13	1.21410762626712e-09	16
LOC100132147	-4.11261060528544	4.60630066840648e-13	1.4777012544248e-09	16
HOXA10	-3.53824918853912	8.1932598437988e-13	2.1484141258257e-09	16
XLOC_l2_015885	-1.57980203380843	8.64880629463232e-13	2.1484141258257e-09	16
LOC100652913	-3.62956395915645	9.27062592734952e-13	2.1484141258257e-09	16
LOC100288420	-2.53125950766303	9.37587212018697e-13	2.1484141258257e-09	16
RP9P	-3.66329932801423	1.06119478178115e-12	2.26954190663595e-09	16
CYP4F30P	-2.74521040898771	1.25060346211393e-12	2.50745994153843e-09	16
LOC100507547	-5.4411865290695	1.84875217462561e-12	3.48870410364645e-09	16
CTRB2	-1.58730902827984	2.10989081135294e-12	3.58043341397592e-09	16
DKKL1	-1.98031654674262	2.12058088732988e-12	3.58043341397592e-09	16
XLOC_005944	-5.63389241034834	2.38156391706541e-12	3.58949673364772e-09	16
LOC100652804	-4.30519447998244	2.45136374445581e-12	3.58949673364772e-09	16
LOC100506035	-1.93270596126545	2.46162494202774e-12	3.58949673364772e-09	16
HMGA2	-3.73638774649276	2.84343190310604e-12	3.96596936746268e-09	16
TMEM151B	-2.95138875768049	3.12104228619948e-12	4.17179318921997e-09	16
LOC100506452	-3.63689592180289	3.26675082920701e-12	4.19189466403844e-09	16
