gene	log2FC	p	padj	n
HOXC8	2.91643616275667	2.23792746344016e-09	5.5084346585116e-05	19
GPC3	3.12729861384491	1.42326685753274e-08	9.27034441504861e-05	19
MMP23A	2.87183710064879	1.9602704268908e-08	9.27034441504861e-05	19
CLDN11	4.30044677243389	2.53717448402949e-08	9.27034441504861e-05	19
UCHL1	2.5014655580294	2.6691486366191e-08	9.27034441504861e-05	19
DACT1	2.01980344303157	2.819448308486e-08	9.27034441504861e-05	19
HSD11B1	3.41219996139305	2.89317006797541e-08	9.27034441504861e-05	19
CAMK1G	2.19675779226997	3.09676049731811e-08	9.27034441504861e-05	19
SLC24A3	-1.66430067154694	3.38966034514656e-08	9.27034441504861e-05	19
CSTA	1.24278475247476	4.80043240689553e-08	0.000118157843263327	19
LOC641953	-1.47427579427058	5.96056786649485e-08	0.000133375834059913	19
COL8A1	4.70886574167776	6.55887610177995e-08	0.000134533480307676	19
FABP4	2.59677328120466	7.14566495796832e-08	0.000135294920981102	19
GPR1	2.60373754685106	7.75884888776584e-08	0.000136411647516763	19
HOXD10	-2.25389614005962	8.3552302125838e-08	0.000137103757635025	19
FTL	0.877530486737137	1.11839092276327e-07	0.00015774868633343	19
FZD7	2.69519263085833	1.19593674717439e-07	0.00015774868633343	19
CEACAM1	-2.55001746194094	1.35635302548084e-07	0.00015774868633343	19
CHL1	3.16005082075133	1.39300487107496e-07	0.00015774868633343	19
HMOX1	3.14208668719425	1.40254018469937e-07	0.00015774868633343	19
DSE	2.16564900270815	1.40548370394342e-07	0.00015774868633343	19
LOC196463	1.22753328320197	1.41139584056693e-07	0.00015774868633343	19
LOC389033	-2.68577000013798	1.47404720308316e-07	0.00015774868633343	19
REV3L	-1.56561144074518	1.58577033935907e-07	0.0001626339630541	19
FMO1	2.84685293485697	1.77051302075079e-07	0.000174048603361106	19
HOXA11	-2.52710469136393	1.83849178816476e-07	0.000174048603361106	19
PTHR1	-1.60147444605348	2.06543661132589e-07	0.00018228887861575	19
SLC16A4	1.77976602777902	2.07365263721499e-07	0.00018228887861575	19
PPFIBP1	1.64711453690463	2.73964324988599e-07	0.000226459426199069	19
LOC404266	-1.42431649947886	2.76012951408632e-07	0.000226459426199069	19
HS3ST3A1	2.96279230660663	2.93595385716137e-07	0.000233114736258613	19
TXLNB	1.51361869697775	3.16674933648138e-07	0.000243582400525477	19
CXADR	-2.76249786719899	3.4796607152877e-07	0.000253917994263226	19
FLJ43855	-1.38668828132764	3.5074395892377e-07	0.000253917994263226	19
TTYH2	1.19450438677214	4.04251086635853e-07	0.000284292464184425	19
CKB	-2.82089416040035	4.23733847259811e-07	0.000286008863256898	19
DIRAS3	3.51687243153171	4.35855919051804e-07	0.000286008863256898	19
HES6	-1.66439673218401	4.74171254018435e-07	0.000286008863256898	19
WWC3	0.98008495815026	4.94153985182715e-07	0.000286008863256898	19
RUNDC1	-0.691101017008836	5.03086550337955e-07	0.000286008863256898	19
ZNF365	1.27755842862575	5.04429827658302e-07	0.000286008863256898	19
PDE1B	1.61952551318676	5.0897291653077e-07	0.000286008863256898	19
WISP1	2.68845063182127	5.14774616007714e-07	0.000286008863256898	19
MN1	1.59311960644576	5.25181671770289e-07	0.000286008863256898	19
COL10A1	4.32463792431393	5.42763956881526e-07	0.000286008863256898	19
LPHN3	-1.11105411390593	5.53282343376007e-07	0.000286008863256898	19
MSX1	-3.56740674107984	5.57633642316763e-07	0.000286008863256898	19
SCRIB	-0.648845144873445	5.60052575139236e-07	0.000286008863256898	19
JAZF1	-1.44297325869312	5.69368420394409e-07	0.000286008863256898	19
DPYSL3	2.83291360419969	6.38005622707688e-07	0.00031154103595085	19
TMEM16A	-1.85296443176278	6.47720480324858e-07	0.00031154103595085	19
BICC1	1.04789648818204	6.78848308456378e-07	0.00031154103595085	19
GYPE	-0.722291678590035	6.8282115862705e-07	0.00031154103595085	19
SLC6A8	-1.01036463421953	6.8348159345681e-07	0.00031154103595085	19
LY96	2.3504993767223	7.39848167681794e-07	0.000326784036660066	19
GNG2	1.51990883175603	7.43475503898745e-07	0.000326784036660066	19
NRP2	1.18415651207237	8.10417042968199e-07	0.000349957984133671	19
CACNA2D3	1.0466856579352	8.51061890722679e-07	0.000361173058245655	19
EMX2	-1.7143522657978	8.93914459766306e-07	0.000369285785546005	19
SERPINE2	2.85813198373864	9.00184737659881e-07	0.000369285785546005	19
HOXA10	-2.91690096528561	9.20584499985308e-07	0.000371463391518662	19
PTGIS	3.78007948311006	9.37499657498878e-07	0.000372187364027054	19
LOC653108	-1.89950670746791	9.92059375372426e-07	0.000387596023260586	19
BRI3	1.16380743329934	1.04632957155039e-06	0.000396071725922324	19
CD248	-1.79293369402658	1.05890414290496e-06	0.000396071725922324	19
LOC652002	1.42752630625942	1.06202705415103e-06	0.000396071725922324	19
FST	2.80203280457715	1.15079532848174e-06	0.000422771286794769	19
ESR1	-2.9387795096304	1.18692392135048e-06	0.000427294361236195	19
ARHGAP22	1.14043922105643	1.19782688410244e-06	0.000427294361236195	19
FOXA2	-4.63427606803724	1.29630160337855e-06	0.000451467476017364	19
FAAH	-1.05096385733085	1.3022747540925e-06	0.000451467476017364	19
HTRA1	1.72382651791814	1.33111702829634e-06	0.000453870877423495	19
DKFZP564O0823	-2.1165584386848	1.34608653822683e-06	0.000453870877423495	19
FLJ20021	0.592468615266956	1.36969948399617e-06	0.000455591663501103	19
ARHGAP25	1.9028456245953	1.39196117682045e-06	0.000456823098750114	19
GLT8D2	1.91416106154949	1.63837148473179e-06	0.000517782571979207	19
CPNE5	0.577609524082798	1.64394638503198e-06	0.000517782571979207	19
WDR37	0.59855765380258	1.65810085525501e-06	0.000517782571979207	19
LRRC3	1.0052855970098	1.66185192111633e-06	0.000517782571979207	19
PDGFRL	1.83176253372935	1.71819569641653e-06	0.000528645860894954	19
C4orf19	-2.29173460009465	1.7634548999639e-06	0.000535872579107548	19
KIAA1210	-3.37052762745634	1.80293990052706e-06	0.000541189789165524	19
CASP4	0.888357028035176	1.83151960265124e-06	0.000543144861441657	19
MMP23B	1.02063888141745	1.88622234263618e-06	0.000549073892880647	19
CFH	2.63898299864074	1.92808876552347e-06	0.000549073892880647	19
STEAP2	2.2910902481612	1.95298446231625e-06	0.000549073892880647	19
LRRC8E	-0.909915974668035	1.96578587508524e-06	0.000549073892880647	19
C2orf29	-1.06850469889001	1.97737407853741e-06	0.000549073892880647	19
SKAP2	1.33064588447095	1.98535697027617e-06	0.000549073892880647	19
LOC387758	2.09173324191497	2.14284107618842e-06	0.000586043224992243	19
EVI1	-2.16203805687533	2.19948877796444e-06	0.000594925459129855	19
PEMT	-1.56146110768847	2.37550882489952e-06	0.000635551893653009	19
EIF1B	0.772858839072933	2.47427330823172e-06	0.000648541366961267	19
FGD6	0.821436116754401	2.47675666264561e-06	0.000648541366961267	19
CRB3	-2.26169675065903	2.55763201889768e-06	0.000662668994875237	19
CPNE8	1.36989689204707	2.634544968095e-06	0.000670421045728518	19
