gene	log2FC	p	padj	n
LOC101928826	-0.00751247732209798	0.997931103248529	0.999901617477153	17
HUWE1	-0.0190083175348862	0.994765415425613	0.999901617477153	17
RPL37A	-0.00252308309287378	0.999305204234718	0.999901617477153	17
EEF1A1	-0.00252308309287378	0.999305204234718	0.999901617477153	17
RPL23A	-0.00252308309287378	0.999305204234718	0.999901617477153	17
FTL	-0.00252308309287378	0.999305204234718	0.999901617477153	17
RPS3A	-0.00252308309287378	0.999305204234718	0.999901617477153	17
ACTB	-0.00252308309287378	0.999305204234718	0.999901617477153	17
RPL41	-0.00252308309287378	0.999305204234718	0.999901617477153	17
RPS23	-0.00252308309287378	0.999305204234718	0.999901617477153	17
RPL13A	-0.00252308309287378	0.999305204234718	0.999901617477153	17
FABP4	-0.00252308309287378	0.999305204234718	0.999901617477153	17
RPL7	-0.00252308309287378	0.999305204234718	0.999901617477153	17
HBA1	-0.0569321831837035	0.984323958582477	0.999901617477153	17
RPS10	-0.0160977034538453	0.995567154034683	0.999901617477153	17
UBC	-0.00252308309287378	0.999305204234718	0.999901617477153	17
VIM	-0.00252308309287378	0.999305204234718	0.999901617477153	17
RNU86	-0.0160977034538453	0.995567154034683	0.999901617477153	17
B2M	-0.00252308309287378	0.999305204234718	0.999901617477153	17
HBB	-0.0568817680483417	0.984337837745625	0.999901617477153	17
RPS6	-0.000812359432352239	0.999776301362052	0.999901617477153	17
RPS20	0.0126599506080217	0.996513815552981	0.999901617477153	17
RPL9	-0.0158843935970563	0.995625892111413	0.999901617477153	17
RPL27A	-0.0158843935970563	0.995625892111413	0.999901617477153	17
RPS18	-0.0160977034538453	0.995567154034683	0.999901617477153	17
RPS4X	-0.0159104825784298	0.995618708115711	0.999901617477153	17
RP5-882O7.1	-0.0433045449700994	0.98807581554726	0.999901617477153	17
RPS2	-0.0129486180028665	0.996434491932913	0.999901617477153	17
RPL39	-0.0158843935970563	0.995625892111413	0.999901617477153	17
RPS27	-0.0126373703087399	0.996520195616774	0.999901617477153	17
RPS14	0.0299791580117243	0.991745047149845	0.999901617477153	17
RPL31	-0.0266866775357277	0.992651767095994	0.999901617477153	17
RPL7A	0.00255900664057759	0.999295364340167	0.999901617477153	17
RPL30	-0.0128547190316818	0.996460347867956	0.999901617477153	17
RPLP1	-0.0126373703087399	0.996520195616774	0.999901617477153	17
DCN	0.0183836208826874	0.994938080823998	0.999901617477153	17
RPS12	-0.0111790528919502	0.9969218322068	0.999901617477153	17
