gene	log2FC	p	padj	n
NM_000014	-1.18341433828524	0.212998528401058	0.99998705345882	12
NM_000015	30	1.69559719538547e-23	5.08402691821745e-22	12
NM_000016	-0.716026361170894			12
NM_000017	-0.632564382496574	0.826469168258935	0.99998705345882	12
NM_000018	-0.562756008050393	0.845362995627911	0.99998705345882	12
NM_000019	1.05265191849181	0.271594448311576	0.99998705345882	12
NM_000021	0.521774408660053			12
NM_000022	-0.38871532892756	0.796820267731341	0.99998705345882	12
NM_000024	-1.67352352615683	0.561911495069944	0.99998705345882	12
NM_000026	-0.460621352572781	0.755436715354689	0.99998705345882	12
NM_000029	0.669183947139736			12
NM_000031	-1.21744937657647	0.0806862580982848	0.981734785861793	12
NM_000033	0.398347719493678	0.6056582648908	0.99998705345882	12
NM_000034	-0.645372050220815			12
NM_000038	0.211223858366561	0.919545612653576	0.99998705345882	12
NM_000039	-0.00961279206430104	0.997341794439682	0.99998705345882	12
NM_000041	0.871909503709365	0.762511891133229	0.99998705345882	12
NM_000044	-2.11321205493501	0.463930199519378	0.99998705345882	12
NM_000046	0.0659229897152172	0.974671642430716	0.99998705345882	12
NM_000048	0.160092602763717	0.840204052352708	0.99998705345882	12
NM_000051	0.28294505812283	0.663790286669159	0.99998705345882	12
NM_000056	-4.58756172511035	0.111848746413534	0.99998705345882	12
NM_000057	-0.477180357263337			12
NM_000059	-17.5248396680699	5.36510658820602e-09	8.46849023432089e-08	12
NM_000060	0.0560239094736262	0.964971326147138	0.99998705345882	12
NM_000062	-30	1.69569948623451e-23	5.08402691821745e-22	12
NM_000064	-0.293898720643612	0.838520596418758	0.99998705345882	12
NM_000065	-2.36379262909646	0.373251758105797	0.99998705345882	12
NM_000074	-3.78848686254991			12
NM_000075	0.119371253857797	0.858087326656918	0.99998705345882	12
NM_000080	-0.0798272861940913	0.922670300642932	0.99998705345882	12
NM_000081	0.232005291203816	0.873840543313905	0.99998705345882	12
NM_000082	0.373043701176275	0.897129435451069	0.99998705345882	12
NM_000084	-0.0339886717599201	0.966005753279003	0.99998705345882	12
NM_000086	-6.22073543953426	0.0310882313603666	0.421556417246572	12
NM_000087	-5.28068709089768	0.0672275378835407	0.843598403908781	12
NM_000089	0.17553051686957	0.794773027529428	0.99998705345882	12
NM_000091	1.84072308599605			12
NM_000093	0.742888253408484	0.539247657899709	0.99998705345882	12
NM_000094	-0.809428392861575	0.446900605830766	0.99998705345882	12
NM_000095	-30	1.69571257972344e-23	5.08402691821745e-22	12
NM_000096	0.119726766621017	0.943372254635444	0.99998705345882	12
NM_000097	0.0309200780941662	0.968277722974457	0.99998705345882	12
NM_000098	-0.379213702915348	0.666284993380541	0.99998705345882	12
NM_000099	-0.11894074749053	0.924001667494011	0.99998705345882	12
NM_000100	1.12851637112404	0.181581207824307	0.99998705345882	12
NM_000101	0.975692533336636	0.41400270869808	0.99998705345882	12
NM_000104	-0.942185178011396	0.582616994232588	0.99998705345882	12
NM_000106	-0.786042239523215			12
NM_000107	-0.0915862593034228	0.971868618465748	0.99998705345882	12
NM_000110	-17.6605231854178	1.26737739586066e-09	2.2287837923216e-08	12
NM_000112	-0.150134837883864	0.881067834959501	0.99998705345882	12
NM_000113	0.0275312566734621	0.953266984464931	0.99998705345882	12
NM_000115	-0.379531895371572	0.895350471107659	0.99998705345882	12
NM_000117	-0.0760606311710969	0.899578058334934	0.99998705345882	12
NM_000118	0.412247689583386			12
NM_000121	0.313488688265004	0.738086179610106	0.99998705345882	12
NM_000122	0.0953152015591782	0.836508823326277	0.99998705345882	12
NM_000123	-0.168703499318588	0.801177956002139	0.99998705345882	12
NM_000124	0.510798338813251	0.689939753717008	0.99998705345882	12
NM_000125	-1.22634768234911	0.632086745855592	0.99998705345882	12
NM_000126	-1.02075592363443	0.723510865022637	0.99998705345882	12
NM_000127	-0.800901462302261	0.448606071910426	0.99998705345882	12
NM_000129	0.795438801106026	0.34685402381768	0.99998705345882	12
NM_000135	0.319448242482433	0.840698900745624	0.99998705345882	12
NM_000136	0.104836138519528			12
NM_000137	-0.736858560565224	0.549234946836852	0.99998705345882	12
NM_000138	0.279080275147561	0.735355421930548	0.99998705345882	12
NM_000140	-0.647421911118545	0.47842941405742	0.99998705345882	12
NM_000143	1.07908670196831	0.421767063836407	0.99998705345882	12
NM_000144	-1.02156024938648	0.24956851115478	0.99998705345882	12
NM_000146	-0.55153624598405	0.73414943148861	0.99998705345882	12
NM_000147	-0.461153670711918	0.732697002281661	0.99998705345882	12
NM_000148	-1.41245131867037	0.624471570834841	0.99998705345882	12
NM_000154	-0.439286543413681	0.758886351315603	0.99998705345882	12
NM_000155	0.334919418550196	0.907592787384294	0.99998705345882	12
NM_000156	-0.0619716020226597	0.966723089771703	0.99998705345882	12
NM_000157	-8.08765165649394			12
NM_000158	0.536775395432102	0.753949255822212	0.99998705345882	12
NM_000159	0.562751023003364	0.703165812132063	0.99998705345882	12
NM_000160	-0.203376206667768			12
NM_000165	-0.308980561341525	0.732994010548124	0.99998705345882	12
NM_000167	-1.08136973285524	0.703984908400529	0.99998705345882	12
NM_000168	-0.639101351065375	0.707314003832561	0.99998705345882	12
