gene	log2FC	p	padj	n
ENSG00000210082	-0.34342920591846	0.437169155522842	0.891954861937976	6
ENSG00000198804	-0.542015395842963	0.0919339205659233	0.681108974977281	6
ENSG00000156508	0.00943780008365425	0.96849845182059	0.994755731370754	6
ENSG00000198712	0.172453753521805	0.742256922699787	0.965903552230406	6
ENSG00000073060	-1.51715157870766	0.0487325212485429	0.589363011668035	6
ENSG00000169429	1.67071421923822	0.000617125256134452	0.0741556365243967	6
ENSG00000198886	-0.587787689807792	0.102656497297393	0.701810717640341	6
ENSG00000087086	0.96606697548732	0.258440370240508	0.818397985904453	6
ENSG00000198763	0.171670274803365	0.768288703134002	0.96826331854209	6
ENSG00000198899	-0.113793353319546	0.812679580239069	0.976556273775451	6
ENSG00000198938	-0.021128618235718	0.961847120711216	0.994156420482027	6
ENSG00000075624	0.272023527294397	0.190720003528826	0.778642267078039	6
ENSG00000197746	0.00593674056055108	0.990021179323386	0.99746241814157	6
ENSG00000147465	-0.74665570873931	0.311372914079205	0.846114560539945	6
ENSG00000106366	1.16934538637188	0.052715705772348	0.604705781917513	6
ENSG00000167996	0.653261191741401	0.0555723467377913	0.611571336992577	6
ENSG00000116133	-1.66766215330494	0.0356065446456219	0.541723854625296	6
ENSG00000184009	0.103291133993424	0.772138681445866	0.968955693143579	6
ENSG00000102265	-0.0946915733142082	0.883585197166321	0.985008122764495	6
ENSG00000198727	-0.0189950180581698	0.969128153182091	0.994930967904033	6
ENSG00000198888	-0.0891749834743363	0.859133011360429	0.982634223126328	6
ENSG00000111640	-0.0713168246034027	0.895597115766104	0.985728642126151	6
ENSG00000034510	-0.0828996290237886	0.86140836550999	0.982941943492991	6
ENSG00000067225	0.230830415230463	0.501746234897283	0.919885090681424	6
ENSG00000074800	0.164893172250961	0.704194882940111	0.962026556390931	6
ENSG00000115414	-0.606978544125252	0.435990811522368	0.891747409351943	6
ENSG00000198840	-0.232918461936472	0.629071549177902	0.95090617687577	6
